metric,pearson_mean,spearman_mean,spearman_excl_ties_mean,kendall_mean,binary_agreement_mean,binary_agr_excl_ties_mean,precision_mean,recall_mean,f1_mean,precision_excl_ties_mean,recall_excl_ties_mean,f1_excl_ties_mean,tp_mean,fp_mean,fn_mean,tn_mean,n_ties_mean,n_consensus_mean
Analogy,,,,,,,,,,,,,0,0,0,0,0,0
Metaphor,,,,,,,,,,,,,0,0,0,0,0,0
Humor,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6,0.8,0.8,0.8,0.8,0.8000000000000002,0.8,0.8,0.8000000000000002,8,2,2,8,0,20
Connection,0.40824829046386313,0.408248290463863,0.408248290463863,0.408248290463863,0.7,0.7,0.8,0.6666666666666666,0.7272727272727272,0.8,0.6666666666666666,0.7272727272727272,8,2,4,6,0,20
Scaffolding,,,,,,,,,,,,,0,0,0,0,0,0
