metric,pearson_majority,spearman_majority,spearman_excl_ties_majority,kendall_majority,binary_agreement_majority,binary_agr_excl_ties_majority,precision_majority,recall_majority,f1_majority,precision_excl_ties_majority,recall_excl_ties_majority,f1_excl_ties_majority,tp_majority,fp_majority,fn_majority,tn_majority,n_ties_majority,n_consensus_majority
Analogy,,,,,,,,,,,,,0,0,0,0,0,0
Metaphor,,,,,,,,,,,,,0,0,0,0,0,0
Humor,,,,,,,,,,,,,0,0,0,0,0,0
Connection,,,,,,,,,,,,,0,0,0,0,0,0
Scaffolding,0.5241424183609592,0.5241424183609592,0.5241424183609592,0.5241424183609592,0.75,0.75,0.9,0.6923076923076923,0.7826086956521738,0.9,0.6923076923076923,0.7826086956521738,9,1,4,6,0,20
