metric,pearson_majority,spearman_majority,spearman_excl_ties_majority,kendall_majority,binary_agreement_majority,binary_agr_excl_ties_majority,precision_majority,recall_majority,f1_majority,precision_excl_ties_majority,recall_excl_ties_majority,f1_excl_ties_majority,tp_majority,fp_majority,fn_majority,tn_majority,n_ties_majority,n_consensus_majority
Analogy,0.3844645254667628,0.3844645254667629,0.3844645254667629,0.3844645254667628,0.7,0.7,0.6153846153846154,0.6666666666666666,0.64,0.6153846153846154,0.6666666666666666,0.64,8,5,4,13,0,30
Metaphor,0.22742941307367104,0.227429413073671,0.227429413073671,0.227429413073671,0.6333333333333333,0.6333333333333333,1.0,0.08333333333333333,0.15384615384615385,1.0,0.08333333333333333,0.15384615384615385,1,0,11,18,0,30
Humor,,,,,,,,,,,,,0,0,0,0,0,0
Connection,-0.004784688995215282,-0.0047846889952153126,-0.0047846889952153126,-0.004784688995215311,0.5333333333333333,0.5333333333333333,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,4,7,7,12,0,30
Scaffolding,,,,,,,,,,,,,0,0,0,0,0,0
